,Unnamed: 0,Name,starName,defaultPlanetEntry,numStars,numPlanets,solution,controversial,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,bestEarthMass,bestMassProvenance,eccentricity,equilTemp,stellarEffTemp,stellarRadius,stellarMetallicity,stellarMetallicityRatio,luminosity,stellarAge,distance,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Arrakis,similarityIndex_Erid
1221,1221,HAT-P-67 b,HAT-P-67,1,2,1,Published Confirmed,0,4.8101025,9757500.0,23.371,108.0622,108.0622,Mass,0.0,1903.0,6406.0,1775672.0999999999,-0.08,[Fe/H],0.939,1.24,371.686,0.008455236498219774,2.1476044887279335,576.4711927060573,475.841321887622,558.044517221601,469.05618742846895,0.06371482525237306,0.06974651052703536,0.12318088705711018
1223,1223,HAT-P-68 b,HAT-P-68,1,1,1,Published Confirmed,0,2.29840551,4494000.0,12.016,230.10892,230.10892,Mass,0.041,1028.0,4508.0,466549.14,-0.059,[Fe/H],-0.779,11.1,202.152,0.13247610051483266,4.370617652316813,315.95872718652447,260.8043911103601,305.8592304449473,257.08551933944767,0.2264544137268246,0.2351211704013685,0.2744188631549135
1226,1226,HAT-P-69 b,HAT-P-69,1,1,1,Published Confirmed,0,4.7869491,9832500.0,18.786,1137.8314,1137.8314,Mass,0.0,1930.0,7394.0,1343940.06,-0.069,[Fe/H],1.0,1.27,341.263,0.17141893849705994,7.772806324936013,594.7917172477083,490.96378199642913,575.7794333847148,483.96301278570724,0.12327572555921806,0.13369042175784612,0.2532844770902221
1252,1252,HAT-P-70 b,HAT-P-70,1,1,1,Published Confirmed,0,2.74432452,7108500.0,20.961,2154.8874,2154.8874,Mass,0.0,2562.0,8450.0,1295196.12,-0.059,[Fe/H],1.223,0.6,330.739,0.23370738107254863,10.126569324444956,795.3493048018463,656.5116684890247,769.9262763456015,647.1503126333389,0.09768613539896974,0.10649493354206727,0.20961920523073355
1270,1270,HAT-P-9 b,HAT-P-9,1,1,1,Published Confirmed,0,3.92281072,7930500.0,15.614,238.05467,238.05467,Mass,0.084,1540.0,6350.0,933098.28,0.12,[Fe/H],0.418,,455.203,0.06246230712336113,3.8997549099199067,473.7471441346913,391.048972017728,458.60400255691417,385.47291182101026,0.13568347361655228,0.1470316954541529,0.25930789223818335
1273,1273,HATS-1 b,HATS-1,1,1,1,Published Confirmed,0,3.446459,6660000.0,14.594,589.55,589.55,Mass,0.12,1359.0,5870.0,724195.68,,,0.041,,283.971,0.18944426339558848,6.347887174744394,416.1115542453519,343.4743566202499,402.81071168387194,338.5766741679221,0.1825927204835996,0.196048074717502,0.307719863930533
1276,1276,HATS-10 b,HATS-10,1,1,1,Published Confirmed,0,3.312846,6736500.0,10.862,167.17858,167.17858,Mass,0.501,1407.0,5880.0,765976.2000000001,0.15,[Fe/H],0.117,3.3,534.889,0.1302971983368029,3.918243890087526,432.2447555120436,356.79131662476493,418.4282215022689,351.7037444756722,0.20070761780703947,0.21648567783732578,0.3436894539955843
1301,1301,HATS-15 b,HATS-15,1,1,1,Published Confirmed,0,1.74748753,4067999.9999999995,12.386,689.6911,689.6911,Mass,0.126,1505.0,5311.0,640634.64,0.0,[Fe/H],-0.204,11.0,1139.55,0.3625310723143792,7.4527717609654,462.38785403773215,381.6725804758211,447.60780771085194,376.23022047385,0.20415011820834636,0.21891890231028285,0.38883127872926543
1303,1303,HATS-16 b,HATS-16,1,1,1,Published Confirmed,0,2.686502,5616000.0,14.572,1039.3041,1039.3041,Mass,0.0,1592.0,5738.0,863464.08,-0.1,[Fe/H],0.173,9.5,757.044,0.33548182256708675,8.43466400703341,488.91497570337157,403.56907903284093,473.28700034091395,397.8144916555376,0.17730965272230226,0.19047542568157616,0.35549274725476415
1308,1308,HATS-17 b,HATS-17,1,1,1,Published Confirmed,0,16.254611,19620000.0,8.709,425.25654,425.25654,Mass,0.029,814.0,5846.0,759012.78,0.3,[Fe/H],0.093,2.1,400.331,0.6430281278030058,6.979067578645717,249.80284955520142,206.19680505744168,241.8179994844829,203.25659583410732,0.3188015246537899,0.2961637199614319,0.34679574897764337
1318,1318,HATS-2 b,HATS-2,1,1,1,Published Confirmed,0,1.354133,3450000.0,13.092,427.463,427.463,Mass,0.0,1577.0,5227.0,626707.8,0.15,[Fe/H],-0.268,9.7,341.925,0.1902673985816315,5.706926964562084,483.93534441671414,399.45870133498386,468.46654101447314,393.762724809859,0.1778058707118106,0.19181612215494617,0.3501477012206607
1322,1322,HATS-22 b,HATS-22,1,1,1,Published Confirmed,0,4.7228124,7537500.0,10.682,870.8542,870.8542,Mass,0.079,858.0,4803.0,480475.98,0.0,[Fe/H],-0.646,,229.518,0.7136274889204197,9.017839195833991,263.3802630646889,217.4041203125922,254.9614162985186,214.30410331713608,0.29170685363728627,0.2709720940908771,0.32378812860232803
1325,1325,HATS-23 b,HATS-23,1,1,1,Published Confirmed,0,2.1605156,5095500.0,20.849,467.2101,467.2101,Mass,0.114,1654.0,5780.0,835610.4,0.28,[Fe/H],0.155,4.2,639.004,0.05149207291001109,4.7279137464249095,507.9880391595644,419.3127134802764,491.75040080744037,413.33363387886925,0.10585581413246198,0.11488558816480475,0.20948945036069477
1333,1333,HATS-24 b,HATS-24,1,1,1,Published Confirmed,0,1.3484978,3570000.0000000005,15.637,718.2958,718.2958,Mass,0.0,2166.0,6125.0,779903.04,-0.229,[Fe/H],0.19,3.7,494.182,0.18764062007347393,6.769100992994849,619.2453892560263,511.1487760788266,599.4514533621908,503.8601842418328,0.1357666348538823,0.147395336576105,0.27821324768056194
1335,1335,HATS-25 b,HATS-25,1,1,1,Published Confirmed,0,4.2986432,7744500.0,14.123,194.82979,194.82979,Mass,0.176,1277.0,5715.0,772939.6200000001,0.02,[Fe/H],0.068,7.5,471.158,0.06908095391577104,3.7095416353582804,391.92250080142384,323.50778879933523,379.39485184220376,318.89481438161334,0.16402250704336296,0.17676004933251857,0.2521388037157814
1340,1340,HATS-26 b,HATS-26,1,1,1,Published Confirmed,0,3.3023881,7102500.000000001,19.616,206.5895,206.5895,Mass,0.245,1918.0,6071.0,1420537.68,-0.02,[Fe/H],0.704,4.04,861.843,0.027337621542496623,3.2411933866769354,590.1892142611936,487.16470038956794,571.3240476002768,480.21810318608436,0.08823672856878444,0.09639293932380742,0.17454234374703007
1342,1342,HATS-27 b,HATS-27,1,1,1,Published Confirmed,0,4.637038,9165000.0,16.814,168.4499,168.4499,Mass,0.581,1659.0,6438.0,1211635.08,0.09,[Fe/H],0.669,2.3,816.988,0.03539496352704228,3.1612286222946433,509.19092517130144,420.30562149918046,492.9148370397894,414.3123837864282,0.11164542505572171,0.12145168154563686,0.21611276679310296
1349,1349,HATS-28 b,HATS-28,1,1,1,Published Confirmed,0,3.1810781,6196500.0,13.384,213.58176,213.58176,Mass,0.202,1253.0,5498.0,640634.64,0.01,[Fe/H],-0.157,6.2,535.383,0.08897955265020335,3.9897452352964633,384.9228233908493,317.72998794132593,372.6189163735901,313.1994005588587,0.17875493317926822,0.19235654082553355,0.26995955958588597
1352,1352,HATS-29 b,HATS-29,1,1,1,Published Confirmed,0,4.6058749,8212500.0,14.022,207.54299,207.54299,Mass,0.158,1212.0,5670.0,745085.9400000001,0.16,[Fe/H],0.029,5.5,353.891,0.07519033534031695,3.8424223648248645,372.14243793022405,307.1805700540766,360.2470509195652,302.80040932785704,0.17223057104113731,0.1852555093977034,0.25014716650153823
1359,1359,HATS-3 b,HATS-3,1,1,1,Published Confirmed,0,3.547851,7275000.0,15.48,340.382,340.382,Mass,0.0,1648.0,6351.0,974878.7999999999,-0.157,[Fe/H],0.456,3.2,411.211,0.09165107380244797,4.683320322054017,505.5689469356652,417.3159024407086,489.40863391729727,411.36529584233443,0.13996923977963988,0.1517084426877035,0.27553810719992683
1362,1362,HATS-30 b,HATS-30,1,2,1,Published Confirmed,0,3.1743516,6531000.0,13.171,224.38798,224.38798,Mass,0.096,1414.0,5943.0,738122.52,0.06,[Fe/H],0.097,2.3,342.14,0.09809055246699398,4.1223652435626565,433.9673416759555,358.2132049821926,420.09574587534377,353.10535778917756,0.1709913948076516,0.18458055682556726,0.2959730452884213
