,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,Unnamed: 14,calculatedEqEarthTemp,calculatedEqVenusTemp,calculatedEqMarsTemp,calculatedEqTitanTemp,calculatedSurfaceEarthTemp,calculatedSurfaceVenusTemp,calculatedSurfaceMarsTemp,calculatedSurfaceTitanTemp,similarityIndex_Earth,similarityIndex_Venus,similarityIndex_Mars,similarityIndex_Titan,similarityIndex_Arrakis
1709,HAT-P-58 b,HAT-P-58,0,0.04994,14.93,118.23217,0.073,1146,1622,6078,1.53,1.03,0.456,4.08,,81.831970122112,62.6406886451828,83.2854293508711,82.8658420544907,1057.40815667879,2266.70473374117,971.264517989212,1250.13518196945,1.04233313805222E-05,9.00021162323828E-06,4.47735788195285E-07,1.71391329722137E-08,2.55131039818281E-06
1821,CoRoT-5 b,CoRoT-5,0,0.0495,14.079,145.88397,,,1397,,1.11,0.99,0.18,4.34,,65.1510759255433,49.8718075082475,66.3082573110857,65.9742000500533,841.862648513377,1804.65228917732,773.278808525259,995.303571894289,1.46855039609518E-05,1.2514124397533E-05,6.41236305806177E-07,2.57872663497412E-08,2.43604888794746E-06
1889,K2-132 b,K2-132,0,0.0916,12.207,157.32585,0.29,,1586,4878,4.11,1.19,0.943,3.35,,72.4579848748959,55.4650958987394,73.7449479854816,73.3734250962065,936.280332844149,2007.05002052606,860.004588047538,1106.93016398785,1.16909183688007E-05,1.00280436177532E-05,5.08624619143047E-07,2.0000857006216E-08,2.36426193091506E-06
1963,HAT-P-1 b,HAT-P-1,0,0.0553,13.922,169.08556,,,1306,5975,1.14,1.13,0.17,4.38,,60.7653117109692,46.5145952814568,61.8445953083571,61.5330257247765,785.191119686192,1683.16880917051,721.224126723927,928.302885777602,1.51787294858938E-05,1.28778307385677E-05,6.65981182420706E-07,2.72290784255662E-08,2.22452088701734E-06
1886,HAT-P-46 b,HAT-P-46,0,0.0577,14.392,156.684,0.123,,1458,6120,1.4,1.28,0.391,4.25,,73.259229746796,56.0784323548256,74.560424174944,74.1847929626134,946.63377859133,2029.24410361256,869.514571897812,1119.1706661075,1.07602697143537E-05,9.23213743162679E-06,4.65345299957359E-07,1.82242912338888E-08,2.16700411305597E-06
1786,Kepler-7 b,Kepler-7,0,0.06224,16.567,137.615,0,,1540,5933,1.84,1.35,0.618,4.03,,79.0894202714252,60.5413231889387,80.4941676778383,80.0886426003598,1021.96975066355,2190.73747155994,938.713164834524,1208.237644228,9.02648155447321E-06,7.77597197447519E-06,3.87112203411621E-07,1.49053939426745E-08,2.06324870304778E-06
2114,HATS-25 b,HATS-25,0,0.05163,14.123,194.82979,0.176,,1277,5715,1.11,0.99,0.068,4.35,,50.0129222450283,38.2838624795619,50.9012271860651,50.6447896739587,646.251970254657,1385.33298699602,593.60390254644,764.040185740538,1.75500986106886E-05,1.46959881143834E-05,7.81511413569326E-07,3.36149774462594E-08,1.8757038805485E-06
2340,HAT-P-29 b,HAT-P-29,0,0.0665,11.926,243.77561,0.075,433,1271,6115,1.24,1.2,0.283,4.33,,62.9421902892454,48.1809510228215,64.0601385338948,63.7374071684844,813.320091301243,1743.46725940695,747.061521569675,961.558745235926,1.18744305106991E-05,1.00995407799668E-05,5.21351839582116E-07,2.11597224458359E-08,1.8433865667504E-06
2134,HAT-P-28 b,HAT-P-28,0,0.0434,13.585,198.953,0.051,,1384,5680,1.1,1.02,0.053,4.36,,51.2542836491764,39.2340990814347,52.1646370412818,51.901834541572,662.292469733941,1419.7180783835,608.337634168093,783.004284521844,1.59147102018984E-05,1.3348162852026E-05,7.07994648462866E-07,3.02646430678195E-08,1.79735365644992E-06
2083,HATS-53 b,HATS-53,0,0.04753,15.02,189.10885,0.33,,1312,5644,1.1,0.96,0.045,4.34,,47.0137925522935,35.9880904358389,47.8488284259518,47.6077687266659,607.498116530947,1302.25859123748,558.007200535546,718.222914830622,1.80885373012777E-05,1.50783624605759E-05,8.08485939204476E-07,3.53753537272795E-08,1.75703047219604E-06
2352,HAT-P-29 b,HAT-P-29,0,0.0667,12.408,247.261,0.095,,1260,6087,1.22,1.21,0.265,4.34,,61.8236464626336,47.3247287483947,62.9217276816556,62.6047315659207,798.866603696129,1712.48415362452,733.785513073451,944.470912838203,1.16885764368808E-05,9.92887561740942E-06,5.13180477921736E-07,2.09096538006946E-08,1.75647743199601E-06
2981,HATS-17 b,HATS-17,0,0.1308,8.709,425.25654,0.029,72.7,814,5846,1.09,1.13,0.093,4.42,,33.9799652596239,26.0109639402055,34.5835006996948,34.4092709734263,439.078912258516,941.228079825219,403.308566687689,519.107018806544,3.2224682311227E-05,2.63016769280858E-05,1.50984176155127E-06,7.34674320047335E-08,1.74815219650823E-06
2182,HATS-29 b,HATS-29,0,0.05475,14.022,207.54299,0.158,,1212,5670,1.07,1.03,0.029,4.39,,39.2476360048059,30.0432574624303,39.9447332233262,39.743493909938,507.146172576724,1087.13993061014,465.830606418742,599.580463546496,2.41139545103741E-05,1.9846132086524E-05,1.09731245473305E-06,5.07356548048164E-08,1.74293100087256E-06
2203,HATS-60 b,HATS-60,0,0.04708,12.924,210.40346,0.191,903.9,1528,5688,1.46,1.1,0.3,4.15,,75.9046097865043,58.1034163209732,77.2527901545796,76.8635949542733,980.816585473881,2102.51981052275,900.912615539331,1159.5837546887,8.02108935808162E-06,6.89590098060554E-06,3.46676106711178E-07,1.34871290969027E-08,1.72971332816207E-06
2268,HATS-30 b,HATS-30,0,0.04354,13.171,224.38798,0.096,,1414,5943,1.06,1.09,0.097,4.42,,59.518884979855,45.5604812760595,60.5760301583266,60.2708515344341,769.085167572172,1648.64341075395,706.430274682994,909.261404728229,1.14970961539861E-05,9.73887507479815E-06,5.05492385618606E-07,2.07860872194355E-08,1.6553857310551E-06
2202,HAT-P-43 b,HAT-P-43,0,0.0443,14.359,210.395,0,,1361,5645,1.1,1.05,0.045,4.37,,48.6975745042008,37.2769908599447,49.5625168852249,49.3128237201207,629.255441539235,1348.89851100577,577.992026313023,743.945808385591,1.55986068441626E-05,1.30343914807767E-05,6.95640960387219E-07,3.01465084099934E-08,1.61493968161468E-06
2335,HAT-P-62 b,HAT-P-62,0,0.03772,12.027,241.86742,0.101,867.2,1512,5629,1.17,1.02,0.091,4.31,,62.9333095944205,48.1741530337391,64.0511001045337,63.7284142742208,813.205337628188,1743.22126859226,746.956116508968,961.423076144441,1.00117158861658E-05,8.51195905004464E-06,4.39479075622088E-07,1.78449370225476E-08,1.60089726472905E-06
1663,HAT-P-67 b,HAT-P-67,0,0.06505,23.371,108.0622,0,,1903,6406,2.55,1.64,0.939,3.85,,85.8912282043464,65.7479671486852,87.4167859798316,86.9763851417328,1109.8606712622,2379.14415682665,1019.44389505605,1312.14788108598,5.89275883331499E-06,5.09541867921443E-06,2.49893340363529E-07,9.451842934165E-09,1.57034479690621E-06
1957,HATS-27 b,HATS-27,0,0.0611,16.814,168.4499,0.581,,1659,6438,1.74,1.42,0.669,4.11,,81.4220419543476,62.3268970709912,82.8682202404913,82.4507348200814,1052.11118793174,2255.34992807074,966.399076234849,1243.87276858948,6.46511351472204E-06,5.57618625834478E-06,2.76299510788902E-07,1.05759799501987E-08,1.56354707438812E-06
2334,HATS-54 b,HATS-54,0,0.03763,11.96,241.5508,0.126,,1625,5702,1.32,1.1,0.212,4.24,,77.8436016293475,59.5876746631816,79.2262214174228,78.8270841817015,1005.87165609355,2156.22891690622,923.926530208791,1189.20545286696,6.79756660863588E-06,5.85274025774785E-06,2.93891187482577E-07,1.13832080071188E-08,1.54677234949585E-06
2210,Kepler-6 b,Kepler-6,0,0.04567,14.83,212.619,0,,1500,5647,1.39,1.21,0.299,4.24,,77.0031261082912,58.9443079527159,78.3708177832978,77.9759900228466,995.01128367275,2132.94816441635,913.950917369185,1176.3656297894,6.95404984951833E-06,5.9809744203135E-06,2.98993911221324E-07,1.15827255234995E-08,1.51986328083287E-06
2225,KELT-10 b,KELT-10,0,0.0525,15.681,215.80657,,600,1377,5948,1.21,1.11,0.217,4.32,,66.2889816225507,50.7428508959045,67.4663739297451,67.1264821424972,856.566324396426,1836.17170910707,786.784623265779,1012.68719278805,8.88934697175558E-06,7.57775156299575E-06,3.85694796970625E-07,1.54312250825902E-08,1.50184189346097E-06
2261,HATS-45 b,HATS-45,0,0.05511,14.415,222.481,0.24,,1518,6450,1.31,1.27,0.425,4.3,,76.5399355820733,58.5897451395157,77.8994002946347,77.506947508907,989.026074716051,2120.11801799759,908.453304119584,1169.2895350563,6.809763974811E-06,5.85501281409757E-06,2.93098725167276E-07,1.13714782054428E-08,1.47846965793036E-06
2239,HD 209458 b,HD 209458,0,0.04707,15.233,217.704,,,1449,6065,1.16,1.12,0.21,4.36,,69.4366547884469,53.1523299106157,70.6699545191735,70.3139232735746,897.239612296142,1923.36068494085,824.144389329088,1060.77374087135,8.03111537398761E-06,6.8653285171043E-06,3.47537290355385E-07,1.37633939471567E-08,1.47628243410765E-06
2238,HAT-P-24 b,HAT-P-24,0,0.0465,13.922,217.704,0.067,,1637,6373,1.32,1.19,0.408,4.27,,82.479236047798,63.1361573875463,83.9441916957652,83.5212855918405,1065.77193269859,2284.63367686148,978.946924099979,1260.02336997938,5.93749666907579E-06,5.12647368116741E-06,2.54562581934069E-07,9.73201588749093E-09,1.47339171809923E-06
