Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,
GJ 486 b,GJ 486,0,0.01734,1.305,2.82,0.05,40.3,701,3340,0.33,0.32,-1.917,,
GJ 625 b,GJ 625,0,0.078361,,2.82,0.13,,,3499,0.31,0.3,-1.894,4.94,
HD 20794 b,HD 20794,0,0.127,,2.82,0.27,,,,,0.81,,,
TOI-431 c,TOI-431,0,0.052,,2.83,0,,867,4850,0.73,0.78,,4.6,
LTT 1445 A b,LTT 1445 A,0,0.03813,1.305,2.87,0.11,5.4,424,3340,0.27,0.26,,,
HD 215152 e,HD 215152,0,0.15417,,2.877,0,,,4935,0.73,0.77,,4.4,
GJ 273 b,GJ 273,0,0.091101,,2.89,0.1,1.06,,3382,0.29,0.29,-2.056,,
Kepler-11 c,Kepler-11,0,0.107,2.87,2.9,0.026,,,5663,1.06,0.96,,4.37,
Kepler-359 c,Kepler-359,0,,4.8,2.9,,,,,,1.1,,,
GJ 740 b,GJ 740,0,0.029,,2.96,0.24,79,829,3913,0.56,0.58,-1.206,4.68,
GJ 411 b,GJ 411,0,0.0785,,2.99,0.22,,350,3563,0.39,0.39,-1.658,,
Kepler-100 d,Kepler-100,0,,1.61,3,,,,5825,1.49,1.08,,4.12,
Kepler-102 c,Kepler-102,0,,0.58,3,,,,4903,0.74,0.8,,4.61,
Kepler-105 c,Kepler-105,0,,1.85,3,,,,,1.33,1.09,,,
TOI-561 f,TOI-561,1,0.1174,2.32,3,0,,750,5326,0.83,0.81,-0.282,4.5,
TOI-178 d,TOI-178,0,0.0592,2.572,3.01,,,690,4316,0.65,0.65,-0.879,4.45,
GJ 15 A b,GJ 15 A,1,0.072,,3.03,0.094,,,3607,0.38,0.38,-1.655,4.87,
L 98-59 e,L 98-59,0,0.0717,,3.06,0.128,,342,3415,0.3,0.27,-1.948,4.86,
TOI-431 b,TOI-431,0,0.0113,1.28,3.07,0,,1862,4850,0.73,0.78,,4.6,
Kepler-20 e,Kepler-20,0,,0.868,3.08,0.28,,1040,5466,0.94,0.91,-0.069,4.44,
K2-138 b,K2-138,0,0.03385,1.51,3.1,0.048,,,5356.3,0.86,0.94,,4.54,
K2-3 c,K2-3,0,0.1413,1.77,3.1,,,,3835,0.6,0.62,-1.15,4.66,
Kepler-307 b,Kepler-307,0,,3.2,3.1,,,,,1.08,0.98,,4.36,
Kepler-47 c,Kepler-47,0,0.9638,4.65,3.17,0.044,,,,0.94,0.96,,,
HD 85512 b,HD 85512,0,0.26,,3.1783,0.11,,,4300,0.71,0.43,,4.36,
Kepler-37 b,Kepler-37,0,,0.296,3.1783,0,,,5417,0.79,0.87,,4.57,
Kepler-254 c,Kepler-254,0,,2.09,3.2,,,,,0.89,0.97,,,
Kepler-407 b,Kepler-407,0,,1.07,3.2,,,,5476,1.01,1,,4.43,
TOI-561 b,TOI-561,0,0.01064,1.45,3.2,0,,2480,5326,0.83,0.81,-0.282,4.5,
