Name,starName,controversial,solution,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,distance
CoRoT-14 b,CoRoT-14,0,Published Confirmed,0,1.51214,0.02687,11.411,2437.7561,6035,1.19
CoRoT-14 b,CoRoT-14,1,Published Confirmed,0,1.51214,0.027,12.22,2415.4,6035,1.21
CoRoT-14 b,CoRoT-14,0,Published Confirmed,0,1.51214,0.02691,12.218,2358.2986,6040,1.21
CoRoT-16 b,CoRoT-16,0,Published Confirmed,0,5.35227,0.0618,13.115,168.13207,5650,1.19
CoRoT-16 b,CoRoT-16,1,Published Confirmed,0,5.35227,0.0618,13.11,170.032,5650,1.19
CoRoT-17 b,CoRoT-17,0,Published Confirmed,0,3.7681,0.0481,11.287,781.8618,5740,1.62
CoRoT-17 b,CoRoT-17,1,Published Confirmed,0,3.7681,0.0461,11.43,772.29,5740,1.59
CoRoT-17 b,CoRoT-17,0,Published Confirmed,0,3.7681,0.0481,11.433,765.9703,5740,1.59
CoRoT-18 b,CoRoT-18,0,Published Confirmed,0,1.9000693,0.0295,14.684,1099.6918,5440,1
CoRoT-18 b,CoRoT-18,0,Published Confirmed,0,1.9000693,0.0286,14.022,1039.3041,5440,0.92
CoRoT-18 b,CoRoT-18,1,Published Confirmed,0,1.9000693,0.0295,14.68,1102.82,5440,1
