,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,Unnamed: 14,calculatedEqEarthTemp,calculatedEqVenusTemp,calculatedEqMarsTemp,calculatedEqTitanTemp,calculatedSurfaceEarthTemp,calculatedSurfaceVenusTemp,calculatedSurfaceMarsTemp,calculatedSurfaceTitanTemp,similarityToTitan
3563,HD 154857 b,HD 154857,0,1.291,,711.91,0.46,,,5605.0,1.76,1.72,,3.82,,,,,,,,,,6.32082395453093e-05
3564,HATS-52 b,HATS-52,0,0.02498,15.491,711.9392,0.246,,1834.0,6010.0,1.05,1.11,0.068,4.45,,(71.90135527799254+0j),(55.03900740034099+0j),(73.17843180728958+0j),(72.80976299457294+0j),(929.0877322610742+0j),(1991.6316584805359+0j),(853.3979454807255+0j),(1098.4266140748236+0j),6.320564715778243e-05
3565,HD 131496 b,HD 131496,0,2.11,,711.9392,0.16,,,4886.0,5.54,1.62,,3.16,,,,,,,,,,6.320564715778243e-05
3566,WASP-8 b,WASP-8,0,,,711.9392,0.3044,,,,,1.04,,,,,,,,,,,,6.320564715778243e-05
3567,WASP-71 b,WASP-71,0,0.04619,16.37,712.545,0.0,,2049.0,6059.0,2.26,1.56,,3.92,,,,,,,,,,6.315191192418634e-05
3568,WASP-8 b,WASP-8,0,0.0801,11.635,713.18,0.31,,,5600.0,0.94,1.03,,,,,,,,,,,,6.309568460582948e-05
3569,HD 73526 b,HD 73526,0,0.65,,715.09,0.29,,,,,1.01,,,,,,,,,,,,6.292716181033331e-05
3570,HD 73526 c,HD 73526,0,1.03,,715.09,0.28,,,,,1.01,,,,,,,,,,,,6.292716181033331e-05
3571,ups And c,ups And,0,0.821,,715.09,0.185,,,,,,,,,,,,,,,,,6.292716181033331e-05
3572,CoRoT-21 b,CoRoT-21,0,0.0417,14.572,718.2958,0.0,,,6200.0,1.95,1.29,,3.7,,,,,,,,,,6.264632266794745e-05
3573,HATS-24 b,HATS-24,0,0.0238,15.637,718.2958,0.0,,2166.0,6125.0,1.12,1.07,0.19,4.37,,(95.23706152676056+0j),(72.90201017619056+0j),(96.92861539976901+0j),(96.44029450145014+0j),(1230.6247243741352+0j),(2638.0190757740984+0j),(1130.3696895048024+0j),(1454.922826180641+0j),6.264632266794745e-05
3574,HR 810 b,HR 810,0,0.925,,718.2958,0.161,,,,,1.03,,,,,,,,,,,,6.264632266794745e-05
3575,HAT-P-31 b,HAT-P-31,0,,12.218,721.4741,0.25,,,6065.0,1.39,1.31,,4.26,,,,,,,,,,6.237035628453569e-05
3576,HD 200964 b,HD 200964,0,1.64,,721.4741,0.04,,,5079.0,4.69,1.97,,3.39,,,,,,,,,,6.237035628453569e-05
3577,HR 810 b,HR 810,0,0.92,,721.4741,0.14,,,6167.0,1.13,1.34,,4.46,,,,,,,,,,6.237035628453569e-05
3578,HAT-P-14 b,HAT-P-14,0,0.06108,13.664,721.79193,,,1624.0,6600.0,1.59,1.42,,4.19,,,,,,,,,,6.234289331130682e-05
3579,GJ 876 b,GJ 876,0,0.208317,,723.2235,0.0324,,,,0.3,0.32,-1.907,,,(40.51505049384969+40.51505049384969j),(31.013437164496803+31.013437164496803j),(41.23465890552614+41.23465890552614j),(41.026921019293354+41.026921019293354j),(523.5233221993958+523.5233221993958j),(1122.2466794473107+1122.2466794473107j),(480.8735623802906+480.8735623802906j),(618.9425715408063+618.9425715408063j),6.221949378226732e-05
3580,HD 145934 b,HD 145934,0,4.6,,724.62,0.053,,,,5.38,1.75,,3.23,,,,,,,,,,6.20995870378449e-05
3581,NN Ser d,NN Ser,0,3.39,,724.622,,,,57000.0,,0.54,,,,,,,,,,,,6.209941564461197e-05
3582,HAT-P-14 b,HAT-P-14,0,0.0596,13.451,724.6524,0.066,,1612.0,6583.0,1.53,1.32,0.592,4.1,,(79.95826505813531+0j),(61.20640598829065+0j),(81.37844445856882+0j),(80.96846444453578+0j),(1033.1967022203105+0j),(2214.804038550613+0j),(949.0254927879168+0j),(1221.5108604773018+0j),6.209681058366723e-05
3583,HD 152581 b,HD 152581,0,1.49,,724.6524,0.0,,,5095.0,4.8,1.72,,3.31,,,,,,,,,,6.209681058366723e-05
3584,HD 12661 b,HD 12661,0,0.824,,725.60225,0.3597,,,5661.18,1.2,1.08,,4.32,,,,,,,,,,6.201552524232046e-05
3585,WASP-36 b,WASP-36,0,0.02643,14.359,726.55938,0.0,,1724.0,5880.0,,,,4.5,,,,,,,,,,6.193383187602652e-05
3586,HD 163607 c,HD 163607,0,2.42,,727.8,0.12,,,5543.0,1.63,1.09,0.362,4.04,,(11.096231913904179+0j),(8.49393711793082+0j),(11.293317730800057+0j),(11.236422632932829+0j),(143.38217834243895+0j),(307.3600863868256+0j),(131.70129382529032+0j),(169.51553142572504+0j),6.182826169853772e-05
3587,WASP-77 A b,WASP-77 A,0,,15.468,727.8307,0.0,,,5365.0,1.09,1.49,,4.33,,,,,,,,,,6.182565385448591e-05
3588,HD 87883 b,HD 87883,0,4.072,,728.46271,0.7121,,,4989.41,0.8,0.83,,4.55,,,,,,,,,,6.177201593438042e-05
3589,WASP-36 b,WASP-36,0,0.02641,14.908,729.41985,,,,,0.96,,,4.49,,,,,,,,,,6.169096159558407e-05
3590,WASP-36 b,WASP-36,0,0.02643,14.359,729.73768,0.019,,,5900.0,0.95,1.04,,,,,,,,,,,,6.166409353836055e-05
