,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,luminosity,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Arrakis,similarityIndex_Erid
2373,TOI-169 b,TOI-169,0,5286000.0,12.173,251.40353,5880.0,898281.18,0.253,0.1392074077179498,4.538819613905666,4.308614917545349,3.556495179308834,4.17089173228017,3.507438837840236,0.00700178226309438,0.006240138594972962,0.006164277771746749
2379,HAT-P-41 b,HAT-P-41,0,6390000.0,18.887,254.253,6390.0,1169854.56,0.628,0.03769302442552407,3.6644398814603494,4.8629614976957525,4.014074001668396,4.70751884150541,3.957988858901867,0.004859267539769905,0.0043485455506155,0.004269048908533242
2386,Kepler-23 b,Kepler-23,0,11250000.0,1.9,254.3,5760.0,1058439.84,0.362,37.03133749993609,11.554533813840084,3.1446694307802168,2.5957301557738894,3.044151306301405,2.562970288062558,0.003876258676199997,0.0032284036227831943,0.00328226252418098
2390,HATS-59 b,HATS-59,0,9168000.0,12.621,256.17098,5670.0,724195.68,-0.004,0.1272718832328164,4.499602296234441,2.821720269224096,2.3291555933642787,2.7315250879786435,2.301822841336121,0.004449743214314308,0.003964872865125809,0.003910659140914307
2399,HAT-P-52 b,HAT-P-52,0,5541000.0,11.31,259.98494,5131.0,619744.38,-0.305,0.17949163668923382,4.788492831136462,3.0521592174761802,2.5193686953164116,2.9545981456673363,2.488094804090436,0.005401797306014118,0.004805705097827304,0.004752499325521791
2411,HATS-65 b,HATS-65,0,6745500.0,16.825,260.93843,6277.0,912208.02,0.377,0.054721332881037775,3.9332136194285803,4.096322932835637,3.381261273593227,3.965385577564553,3.3349744616879446,0.004704873097265563,0.00420560932788312,0.004136159107866209
2427,HATS-9 b,HATS-9,0,4572000.0,11.938,266.02371,5366.0,1044513.0,0.23,0.1561742622676111,4.714660597882563,4.57191501890316,3.7738331310894178,4.425775549209317,3.7214078810508915,0.007641319612134999,0.00680663142155911,0.006739019803060793
2433,Kepler-435 b,Kepler-435,0,14220000.0,22.31,266.97,6161.0,2235257.82,1.129,0.024013064728156813,3.4549160087218778,4.349621452488312,3.5903435381517,4.2105875094234415,3.540758175173453,0.0036240625440874122,0.003244755472450861,0.0031795417785807005
2460,HATS-11 b,HATS-11,0,6921000.0,16.926,270.1555,6060.0,1002732.48,0.403,0.05564608885414644,3.990118436359061,4.105034727922753,3.388452321719688,3.9738189035399625,3.342050739931676,0.0047127941408307015,0.0042123207936142215,0.0041464033979852115
2467,TOI-1478 b,TOI-1478,0,13545000.0,11.882,270.47333,5597.0,731159.1,-0.013,0.16104218143119145,4.765116228605464,2.3094669706404956,1.9063221719835788,2.235645765091094,1.8898127188015494,0.0039187176819893525,0.003487012421514565,0.0034467183480395764
2469,HAT-P-13 b,HAT-P-13,0,6405000.0,14.359,271.098,5653.0,1086293.52,0.346,0.09146134169737281,4.339674011435296,4.129445066404974,3.408601546655941,3.997448975130501,3.361878927268615,0.00569499734410185,0.005082965404840845,0.005017118666454946
2479,HAT-P-32 b,HAT-P-32,0,5145000.0,20.053,273.322,6207.0,849537.24,0.294,0.033854809112474286,3.687259186665512,4.471554934840601,3.6909920877392577,4.328623435855463,3.6398434942413593,0.004233935267191041,0.0037887115034998865,0.0037219561296696875
2493,WASP-44 b,WASP-44,0,5179500.0,12.33,276.5121,5420.0,633671.22,-0.198,0.1473359581109447,4.729678060542644,3.357432897040832,2.7713532403544,3.2501138718451448,2.7353326850061244,0.0054810086791172346,0.004881103524591021,0.004829484558083945
2499,Kepler-91 b,Kepler-91,0,10800000.0,15.513,279.68,4550.0,4386954.6,1.225,0.07482692087124207,4.240712764727484,5.2745982021460875,4.353854646497578,5.105997740212162,4.292675283977506,0.006690767296422753,0.005977879453565579,0.0059047868037250635
2503,HATS-31 b,HATS-31,0,7170000.0,18.383,279.6904,6050.0,1302159.54,0.619,0.04496889741887057,3.8957101302538804,4.5671122135715665,3.769868712282944,4.421126263665667,3.717504368054454,0.004797337024898844,0.0042905062687672675,0.004223827198319099
2504,TOI-640 b,TOI-640,0,9912000.0,19.851,279.6904,6460.0,1448391.36,0.834,0.035712004927649046,3.7488980802254632,4.396130878657433,3.6287341934152573,4.255610280034004,3.5785508861377093,0.004231010908767056,0.003785487908691559,0.0037214915180360615
2509,Kepler-46 b,Kepler-46,0,29565000.0,9.079,281.27955,5155.0,654561.48,-0.255,0.37541182755761826,5.559120903888136,1.3599167359025501,1.1225271712734624,1.316447531030877,1.1558457403703275,0.0030158146324983093,0.0026682206818710854,0.002652855484099481
2520,HAT-P-45 b,HAT-P-45,0,6780000.0,15.984,283.492,6330.0,919171.4400000001,0.4,0.06933750913038021,4.20613993012513,4.140343878845013,3.41759784236697,4.007999411307269,3.3707321403711834,0.00511215571849893,0.004566394615309037,0.0045051485469055925
2536,KELT-4 A b,KELT-4 A,0,6475500.0,19.044,286.68266,6206.0,1114147.2,0.535,0.04145822917432876,3.8750532475192645,4.578936346662928,3.779628802971878,4.432572442982208,3.7271145463304527,0.004640697415692337,0.004150981861725644,0.00408700985961254
2548,KELT-15 b,KELT-15,0,6919500.0,16.175,289.2253,6003.0,1030586.16,0.412,0.06826329589319731,4.2233010821321555,4.126804574889651,3.4064219841921406,3.9948928858904136,3.359734053419919,0.005046514590208333,0.004507807030917887,0.004448907452344978
2552,WASP-2 b,WASP-2,0,4707000.0,12.005,290.802,5200.0,584927.28,-0.328,0.16787836728012093,4.915567459594587,3.2679782768743943,2.6975139830809542,3.163518633512957,2.6628405797754087,0.005527683848707785,0.004919064945744561,0.004876091136525545
2563,TrES-4 b,TrES-4,0,7636500.0,20.165,292.073,6184.0,1399647.42,0.726,0.035577921566601216,3.801041758600202,4.7065652299370715,3.8849785538295514,4.556121719080324,3.8308528859992963,0.0044807043420399765,0.0040091381852376245,0.003946256716162378
2568,HATS-32 b,HATS-32,0,6036000.0,14.0,292.4036,5700.0,765976.2000000001,0.057,0.10643450607636826,4.564396755975011,3.6018584764399066,2.9731114414163375,3.486726483504158,2.9335506211244518,0.005180187484572763,0.00461956459813855,0.0045689620693450715
2570,TrES-4 b,TrES-4,0,7638000.0,19.627,292.4036,6200.0,1267342.44,0.642,0.03862822822997372,3.854965046855331,4.483956937670605,3.701229174163267,4.340629013531189,3.649922353313129,0.004407850658211694,0.003942998384844609,0.0038821159462509545
2572,HATS-55 b,HATS-55,0,8118000.0,14.022,292.72143,6214.0,786866.46,0.229,0.10604946224874717,4.563292695862893,3.429073046955188,2.830487754041811,3.319464072476982,2.793409874853119,0.004927144182767318,0.004393666461056259,0.004344823203792902
2583,WASP-2 b,WASP-2,0,4716000.0,12.117,295.89973,5180.0,605817.54,-0.313,0.1661280954125704,4.935495709961882,3.2931716037840184,2.7183095165457725,3.187906665613038,2.683253480396677,0.0055311124358796175,0.004922309642425596,0.0048810238211187415
2586,KELT-23 A b,KELT-23 A,0,4953000.0,14.83,298.12454,5899.0,696342.0,0.034,0.09129733785127966,4.478002543023995,3.9238924578642522,3.238930579219864,3.7984667750689662,3.1949383580713118,0.005312652433697579,0.0047407407434300886,0.004688330971795922
