,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Jupiter,similarityIndex_Arrakis,similarityIndex_Erid,similarityIndex_Mesklin
3362,HATS-42 b,HATS-42,0,5533500.0,15.693,597.5204,6060.0,1030586.16,0.15456537602062895,6.162819235972982,1909.4150315063314,4093.1026144019906,1753.8611353654494,1898.2663953003505,0.0023478788309568466,0.07309490347398323,0.002622922468331846,0.010688822461974388,0.0007506312312472458
3365,Qatar-7 b,Qatar-7,0,5280000.0,19.055,597.5204,6387.0,1086293.52,0.08633825756124078,5.592782629765924,2115.139747250645,4534.102794020282,1942.8261207533628,2102.789931638109,0.0011526042747170154,0.04192016229403793,0.0012982216577151955,0.005267705286115742,0.0003095705719504627
3367,WASP-3 b,WASP-3,0,4773000.0,15.872,600.6987,6400.0,953988.54,0.15018934714889914,6.144245596263295,2089.0140109989375,4478.098563619581,1918.8287641343934,2076.816737565172,0.0021000400381834547,0.06565976043598462,0.0023498859045766045,0.009604352718610548,0.0006631441617293073
3370,TrES-3 b,TrES-3,0,3414000.0,14.684,603.55917,5650.0,571000.44,0.19057420949299628,6.403151635677059,1687.0207643327929,3616.36888109839,1549.584613243362,1677.1706372189174,0.00321643650396347,0.09438119361859368,0.003575169094392785,0.014555064874827706,0.0011173799289200595
3374,HAT-P-56 b,HAT-P-56,0,6348000.000000001,16.432,603.877,6566.0,995769.0599999999,0.13606756468724887,6.054594744057192,1898.6602164440367,4070.0481391189714,1743.9824804661419,1887.5743751352436,0.0020524015330469205,0.06668155311754666,0.0022965024910908587,0.009345992164995032,0.0006361024874383409
3378,WASP-135 b,WASP-135,0,3645000.0,14.572,603.877,5675.0,668488.32,0.19510500165429315,6.429403930593604,1774.3918272700917,3803.661177550888,1629.8378369337659,1764.0315605691987,0.00315286419197371,0.09140837660466193,0.003505905665803408,0.01430517795095585,0.0010991914174461944
3379,WASP-46 b,WASP-46,0,3501000.0,13.159,603.877,5600.0,598854.12,0.26494591626676695,6.765795225208672,1690.9782036334727,3624.8522149365926,1553.2196527033555,1681.1049699396538,0.004435455391544663,0.10442580733358546,0.004901784825128965,0.020056074157217357,0.0017248973239786505
3383,WASP-106 b,WASP-106,0,13755000.0,12.162,606.73747,6000.0,967915.3799999999,0.3371810982616394,7.054300516261079,1162.0509379626628,2491.0214142867394,1067.3823887307776,1155.2659891975197,0.0075587936166147205,0.13134001233511203,0.00825700161598216,0.03338644075835851,0.003357037892441831
3384,TrES-3 b,TrES-3,0,3423000.0,14.975,607.03,5650.0,577963.86,0.18071202958461707,6.358837257097474,1695.043534550382,3633.566829794989,1556.9537941969113,1685.1465643222311,0.003025333330099244,0.09051721394711525,0.0033657518649461153,0.013698952011519798,0.0010365621354420029
3386,TrES-3 b,TrES-3,0,3424500.0,14.628,607.0553,5650.0,571000.44,0.19388794248583138,6.433950273099102,1684.432456978251,3610.820476259766,1547.2071669571399,1674.5974423970667,0.0032656866559961405,0.09538234822977025,0.0036287497521291317,0.014780806120763133,0.001145320544555541
3387,WASP-46 b,WASP-46,0,3502500.0,13.159,607.0553,5600.0,598854.12,0.26634036845764464,6.783576583665406,1690.616071023338,3624.0759321961486,1552.8870218712505,1680.7449517387295,0.004444528528769394,0.1040061862366661,0.004911215098622483,0.0201020930124866,0.0017376995565515894
3392,TrES-3 b,TrES-3,0,3390000.0,14.516,610.2336,5720.0,557073.6,0.19944935668805924,6.475609131193699,1692.926041559377,3629.0276824883804,1555.008806543597,1683.041434886889,0.0033347906589607933,0.0965023870949272,0.00370405806338865,0.01510102587393827,0.00118392941835306
3394,WASP-106 b,WASP-106,0,13755000.0,12.162,611.797,6055.0,967915.3799999999,0.3399928215628024,7.083652046808956,1172.7030715606538,2513.855777251035,1077.1667272941431,1165.8559274318304,0.007522952260173951,0.1293223842119924,0.008217645780068622,0.03326165737935136,0.0033667507939625484
3395,HAT-P-36 b,HAT-P-36,0,3603000.0,15.211,611.82275,5560.0,772939.6200000001,0.1737919773771241,6.334173805575551,1880.186639710736,4030.447400685077,1727.0138865621925,1869.208661377265,0.002646630973101599,0.07977610818012094,0.0029507345129435266,0.012053886091797238,0.0008922161535735347
