,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,luminosity,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Arrakis,similarityIndex_Erid,similarityIndex_Mesklin,similarityIndex_Dhrawn
323,HD 219134 c,HD 219134,0,9795000.0,1.511,4.36,4699.0,543146.76,-0.577,1.2623417240415082,1.696551551658474,24040.564961204233,19843.99976062233,23272.11773503212,19561.039453470283,0.019066227531943286,0.020618632382953816,0.034809496809740076,0.0020895723113167996,0.005732279815283898
331,Kepler-36 b,Kepler-36,0,17295000.0,1.486,4.45,5911.0,1135037.46,0.462,1.3545262429761795,1.7283299228853226,32903.084023092466,27159.461207823333,31851.349852499705,26772.187997878038,0.013782580161865121,0.014900396802490787,0.025240793657370888,0.0015628718384500815,0.004282684757024835
342,Kepler-10 b,Kepler-10,0,2526000.0,1.416,4.56,5627.0,738122.52,0.002,1.6042015199550659,1.7922840623726455,66066.33521037857,54533.67432153207,63954.550727871574,53756.06570319441,0.00667840580417931,0.007212651281343552,0.012216037953503896,0.0008175031006630487,0.002229944785200788
348,L 168-9 b,L 168-9,0,3136500.0,1.39,4.6,3800.0,417805.2,-1.172,1.7107922405472094,1.8168855209306045,30162.979833686968,24897.67464139319,29198.832018372013,24542.65278345705,0.014369117517608122,0.015499344650464902,0.02615025352691694,0.0018182228929987665,0.00493484533883736
350,HD 136352 b,HD 136352,0,14535000.0,1.482,4.62,5850.0,703305.42,0.034,1.4176897699899955,1.7634085176851473,28053.649821583935,23156.553152659704,27156.925912466613,22826.358359689508,0.01593962882352083,0.017220343135418155,0.029366507784718606,0.0018668688448788395,0.005103354807495335
351,HD 136352 b,HD 136352,0,14460000.0,1.664,4.72,5664.0,738122.52,0.016,1.023212586298141,1.6820944837227632,27836.37914726306,22977.209646541127,26946.600209999757,22649.572155233356,0.016814589318552984,0.018219546189002817,0.03159179953418273,0.0017366567917953654,0.004800157285708247
354,HD 219134 b,HD 219134,0,5814000.0,1.602,4.74,4699.0,543146.76,-0.577,1.1515283839187915,1.7179636213576124,31203.93581895326,25756.919436836964,30206.514254009882,25389.645403222014,0.014762291752070925,0.015980089093907926,0.027751541088770326,0.0016000598623813163,0.0044082090222228336
356,TOI-178 c,TOI-178,0,5550000.0,1.669,4.77,4316.0,452622.3,-0.879,1.0247860617736566,1.6884455874086084,26841.10544071036,22155.672747285324,25983.140036960798,21839.749745805933,0.017402327991419296,0.018854713744496033,0.03279162108386027,0.0018052118258819643,0.004988497399513817
357,TOI-270 d,TOI-270,0,10815000.0,2.133,4.78,3506.0,264609.96,-1.712,0.49197062367946903,1.4951148973720556,11903.745352841985,9825.805687740914,11523.246803319027,9685.697190010702,0.03289242660909802,0.03713600907604358,0.06253785007993222,0.0033100993668826384,0.009253136707676414
363,Kepler-68 c,Kepler-68,0,13588500.0,0.953,4.8,5793.0,863464.08,0.194,5.539191456461903,2.241455992657745,31813.47649768147,26260.057574492705,30796.57120410843,25885.609174636655,0.010208680904600314,0.011001122246064409,0.017226382675946617,0.0022271397060824594,0.005433541741415082
365,pi Men c,HD 39091,0,10258500.000000002,2.042,4.82,6037.0,765976.2000000001,0.16,0.5654102351223343,1.5344463147598604,35905.0022505602,29637.35907267841,34757.31294169113,29214.752928375696,0.01147428412221462,0.012964554621161823,0.02222390082748489,0.0011510280970381905,0.0032323244656280656
368,TOI-1634 b,TOI-1634,0,2317500.0,1.79,4.91,3550.0,313353.9,-1.539,0.8550789988240044,1.6541324397378543,28407.76183504104,23448.850722272407,27499.718874356735,23114.487988812634,0.015910130156592605,0.01790231093845513,0.030307709172046768,0.0016347583504339837,0.004542152196479325
378,Kepler-21 b,Kepler-21,0,6407550.0,1.639,5.08,6305.0,1323049.8,0.715,1.1524197497703828,1.7583220713010548,62531.79389503106,51616.129033854595,60532.98963881877,50880.12238692842,0.007328563594938864,0.007936341868877574,0.014070026836334215,0.0008111223767036659,0.0022391090317273443
400,TOI-776 c,TOI-776,0,15000000.0,2.02,5.3,3709.0,376024.68000000005,-1.31,0.6422522023009757,1.6177756648838126,12739.467058534672,10515.642276626213,12332.25499260194,10365.69723508274,0.03246145301211043,0.03656013222464618,0.06358168359399613,0.003402613739623468,0.00946714077999713
427,K2-146 b,K2-146,0,3720000.0,2.25,5.6,3385.0,243719.69999999998,-1.824,0.49104841498830754,1.5756465493626608,19029.414223363063,15707.60470490558,18421.14646429743,15483.626237583541,0.020282639290798227,0.022916244326042244,0.039707985081035936,0.002141464551202284,0.006010072982982835
