,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Jupiter,similarityIndex_Arrakis,similarityIndex_Erid,similarityIndex_Mesklin,similarityIndex_Habranah,similarityIndex_Dhrawn
141,L 98-59 c,L 98-59,0,4560000.0,1.385,2.22,3415.0,208902.6,0.8353741958884777,1.2644674342416136,533.6613204553043,1143.9789202023896,490.18565055287274,530.5453944670891,0.47687771057237677,0.01462473649465151,0.3580598700985532,0.5358479756050196,0.0019374555004290448,0.04172332389676248,0.010331963794551294
143,Kepler-11 f,Kepler-11,0,37500000.0,2.61,2.3,5680.0,765976.2000000001,0.12932536590370922,0.9375613864625284,592.6876213822674,1270.510189023518,544.4032687511103,589.227054367999,0.08106228949919565,0.02816018660025133,0.06695998578237247,0.11121529530890788,0.0003681660072336276,0.006897208782229658,0.0021853263402735646
146,L 98-59 d,L 98-59,0,7590000.0,1.57,2.31,3412.0,215866.02,0.5967472475107484,1.2114687390077874,420.11268397482445,900.5712727443192,385.88745596929624,417.6597424184471,0.431417967108671,0.024479384410589215,0.33414595718540596,0.47306344628548214,0.0018030976646912196,0.037096089607669906,0.007260525629426003
148,LHS 1478 b,LHS 1478,0,2772000.0,1.242,2.33,3381.0,174085.5,1.2158179064562662,1.3679594088201634,618.6077755710547,1326.073725041212,568.2117914160494,614.995866724505,0.4361460265375269,0.009250199188543529,0.2872618355792452,0.4804725258689597,0.00238622222040588,0.04160722554600453,0.01278949546985635
149,LTT 3780 b,LTT 3780,0,1804500.0,1.35,2.34,3360.0,264609.96,0.9508060878221989,1.3149132229123113,939.3975970156882,2013.7323195128054,862.8678987416082,933.9126700149625,0.3399262578591919,0.008258480584691542,0.22975410267346638,0.4111438149805781,0.0013993092631385904,0.02903064496182427,0.00847328975789947
150,GJ 9827 d,GJ 9827,0,9165000.0,2.04,2.35,4219.0,431732.04,0.2767290561554638,1.071950906004012,668.553163091927,1433.1387647867762,614.0882889916023,664.64963458886,0.16737434096730194,0.03089850069301845,0.12670465677238973,0.24497351865169217,0.0006638433647040249,0.013533862266548919,0.003981667282694109
153,GJ 9827 c,GJ 9827,0,5912999.999999999,1.269,2.42,4269.0,424768.62,1.1838805934846512,1.3792180119217585,835.3797532258615,1790.7552813438326,767.3240538481432,830.5021625455315,0.351511668183738,0.00752151189707688,0.22628556596693844,0.4134306908536554,0.0018714754528091188,0.0328285643815249,0.01081765401867262
154,L 98-59 c,L 98-59,0,4755000.0,1.35,2.42,3412.0,215866.02,0.9833122788588553,1.3372014750757806,530.7761759577238,1137.7942027412214,487.53554949012573,527.6770956661613,0.5125799609040415,0.013201927914992159,0.34985785259026897,0.5964182416745822,0.0023327340468200864,0.044599447640030536,0.01219832088644499
161,TOI-1064 c,TOI-1064,0,14143500.0,2.651,2.5,4734.0,508329.66,0.1341492433117307,0.9698871127121717,655.2515375257705,1404.6248390648861,601.8703040419075,651.4256741619938,0.07867341492386867,0.027651644870072427,0.06222909031729869,0.109977144129481,0.0003684400857496229,0.006354423300411134,0.0022423017235881824
165,K2-229 b,K2-229,0,1933200.0,1.164,2.59,5185.0,550110.18,1.64179233963932,1.489805043358387,2019.3924376701293,4328.854821893031,1854.8790362703246,2007.6016686266216,0.1420082222994745,0.002509985602665649,0.08628584097600246,0.17709977015902847,0.001139132934325531,0.01307302092141325,0.0074494807575978626
168,LTT 3780 b,LTT 3780,0,1816500.0,1.332,2.62,3331.0,257646.54,1.108322165031077,1.4007304879349873,915.9138073769611,1963.391477328008,841.2972578495813,910.5659968349937,0.3276897353949442,0.00774985968250698,0.20985340100937389,0.419036614426616,0.0017259106858890354,0.029899413234180952,0.010247280418966572
185,GJ 486 b,GJ 486,0,2601000.0,1.305,2.82,3340.0,229792.86000000002,1.268513154255513,1.4681666226216255,724.8198409920182,1553.7543892667463,665.7711017676412,720.5877842684876,0.3560218896456903,0.00863942568081103,0.23090610196305372,0.45901055563377363,0.002433742937169218,0.03262242164817349,0.013504210541301824
189,LTT 1445 A b,LTT 1445 A,0,5719500.0,1.305,2.87,3340.0,188012.34000000003,1.2910045222387667,1.4811250965035345,442.12607537131186,947.7601072250737,406.1074872306137,439.544602674093,0.4857250709022677,0.012821296920350191,0.32854958963890973,0.57426202578158,0.003661699122708981,0.045386610375319054,0.014767879999901326
192,Kepler-11 c,Kepler-11,0,16050000.0,2.87,2.9,5663.0,738122.52,0.12263931314473822,1.0039546575253206,886.6634131332432,1900.689098235077,814.4297990668238,881.4863889310311,0.05583525162243144,0.022090364102583446,0.04187140969023078,0.08223468255303085,0.00028799895417532407,0.004206645895034379,0.0018868292188924597
200,TOI-178 d,TOI-178,0,8880000.0,2.572,3.01,4316.0,452622.3,0.1768605636141099,1.0804478606930241,711.423888238396,1525.0382598064054,653.4664741628009,707.2700474089577,0.09415874627640518,0.032616897625705334,0.07137035905704728,0.14534918528226115,0.0004908699606748891,0.007163629151062743,0.0030297233602490526
203,TOI-431 b,TOI-431,0,1695000.0,1.28,3.07,4850.0,508329.66,1.4634768885342313,1.546750450439529,1939.1666335101345,4156.87940359399,1781.188970125484,1927.844284527302,0.14638840790366225,0.0032307777081181702,0.08924565465444131,0.2126779242113382,0.001203429070918364,0.01294423073226886,0.007929430072455456
