,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,Unnamed: 14,calculatedEqEarthTemp,calculatedEqVenusTemp,calculatedEqMarsTemp,calculatedEqTitanTemp,calculatedSurfaceEarthTemp,calculatedSurfaceVenusTemp,calculatedSurfaceMarsTemp,calculatedSurfaceTitanTemp,similarityIndex_Earth,similarityIndex_Venus,similarityIndex_Mars
1185,HATS-38 b,HATS-38,0,0.05036,6.882,23.51942,0.0,464.7,1294.0,5732.0,1.1,0.89,0.072,4.3,,51.36843430612882,39.32147905957928,52.2808151860922,52.017427387440364,663.7674902616338,1422.8799946136448,609.6924895215395,784.7481476121271,0.00025577774548059024,0.00021666963237694552,1.2094617775980746e-05
1190,HD 10180 f,HD 10180,0,0.4929,,23.9,0.135,,,5911.0,,1.06,0.173,4.39,,20.44269655157806,15.64846340427206,20.80578967910848,20.700971283999536,264.15438912067776,566.2524924519123,242.6345813615338,312.3001210323763,,,
1196,HD 109271 c,HD 109271,0,0.196,,24.154,0.15,,,5783.0,,1.05,0.301,4.28,,37.23228185108057,28.500545343133883,37.893583339770885,37.702677603826146,481.104371095401,1031.315626324209,441.9103466746028,568.7921893800466,,,
1199,Kepler-4 b,Kepler-4,0,0.0456,4.002,24.472,0.0,,1650.0,5857.0,1.49,1.22,0.354,4.17,,80.3848969865023,61.53298394738233,81.81265401353632,81.4004864762516,1038.7095119483627,2226.621530053647,954.0891916533582,1228.0284547941337,0.00015712169196701556,0.00013727409724843435,7.442428363349027e-06
1205,HD 11964 c,HD 11964,0,0.229,,25.0,0.3,,,5303.0,2.01,0.91,0.459,3.79,,38.2773175939935,29.300498692628125,38.95718049386154,38.76091641543359,494.6080093058469,1060.2625948727443,454.31388694874266,584.7570494057985,,,
1208,rho CrB c,rho CrB,0,0.4123,,25.0,0.052,9.85,448.0,5627.0,1.36,0.89,0.232,4.12,,24.053118683865204,18.4121672272253,24.480338354604328,24.357007790485913,310.8071802735389,666.2593837176015,285.4867197961908,367.45601820310486,,,
1209,HD 10180 e,HD 10180,0,0.2699,,25.1,0.026,,,5911.0,,1.06,0.173,4.39,,27.62588177268725,21.14704382760462,28.116559105216375,27.97490946601264,356.9733525698175,765.2231382732355,327.89188264606736,422.03660360894753,,,
1211,Kepler-11 g,Kepler-11,0,,,25.13,0.052,,,5820.0,1.13,1.05,0.12,4.35,,,,,,,,,,,,
1222,HD 179079 b,HD 179079,0,0.1214,,25.74423,0.049,,,5646.0,1.63,1.14,0.38,,,50.146730303966194,38.38628979428548,51.03741187797244,50.78028827506806,647.9809978307884,1389.039403451044,595.1920718117459,766.0843521202515,,,
1231,K2-24 c,K2-24,0,0.247,7.82,27.0,0.0,24.0,606.0,5743.0,1.21,1.12,0.158,4.29,,28.23071388267983,21.61003035754051,28.732133945841085,28.587383075304203,364.7888115594158,781.9766858756338,335.07064135002776,431.2765363486608,0.0008918428768080573,0.0007232330536771277,4.409406399961642e-05
